Brand by Gender,Designer,Start Year,End Year,Tenure,Start Decade,Culmulative Year,Culmulative Tenure,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1997.0,1,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1998.0,2,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1999.0,3,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2000.0,4,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2001.0,5,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2002.0,6,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2003.0,7,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2004.0,8,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2005.0,9,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2006.0,10,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2007.0,11,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2008.0,12,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2009.0,13,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2010.0,14,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2011.0,15,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2012.0,16,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2013.0,17,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1997.0,1,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1998.0,2,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1999.0,3,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2000.0,4,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2001.0,5,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2002.0,6,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2003.0,7,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2004.0,8,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2005.0,9,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2006.0,10,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2007.0,11,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2008.0,12,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2009.0,13,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2010.0,14,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2011.0,15,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2012.0,16,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2013.0,17,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1997.0,1,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1998.0,2,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,1999.0,3,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2000.0,4,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2001.0,5,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2002.0,6,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2003.0,7,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2004.0,8,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2005.0,9,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2006.0,10,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2007.0,11,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2008.0,12,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2009.0,13,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2010.0,14,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2011.0,15,,,,,,,,,,,,,,,,
Louis Vuitton Women,Marc Jacobs,1997.0,2013.0,17,1990s,2012.0,16,,,,,,,,,,,,,,,,
